Name of the organization,loksabha 2014,TS 2018,loksabha 2019,AP loksabha 2019,AP General 2019,TS 2023,Karnataka 2023,Chattisgarh2023,madyapradesh2023,Rajasthan 2023,Average accuracy,no. of elections participated
CNN 18,NA,NA,NA,NA,NA,64.035,NA,NA,NA,NA,64.035,1
INDIAN TV -CNX,NA,68.714,NA,NA,NA,62.671,NA,NA,NA,79.12,70.168,3
JAN KI BAAT(R),NA,48.399,NA,64.545,NA,64.381,58.166,NA,NA,NA,58.872,4
REPUBLIC TV -MATRIZE,NA,NA,NA,NA,NA,67.124,NA,92.87,80.259,97.611,84.466,4
TV9 BHARATHVARSH-POISTRAT,NA,NA,NA,NA,NA,69.091,79.445,73.611,52.776,76.867,70.358,5
NEWS 18,NA,48.399,NA,62.121,NA,64.035,NA,NA,NA,NA,58.185,3
AARA MASTAN,NA,77.155,NA,NA,77.45,88.851,NA,NA,NA,NA,81.152,3
THIRD VISION RESEARCH,NA,NA,NA,NA,NA,70.892,NA,NA,NA,NA,70.892,1
POLITICAL SURVEY,NA,NA,NA,NA,NA,36.917,NA,NA,NA,NA,36.917,1
JANAM SAKSHI,NA,NA,NA,NA,NA,86.068,NA,NA,NA,NA,86.068,1
 TODAY'S CHANAKYA ,NA,NA,NA,51.33,NA,52.45,57.004,NA,67.27,NA,57.013,4
TIMES NOW CNX,NA,NA,66.788,74.89,NA,51.494,84.031,NA,NA,NA,69.3,4
INDIA TODAY(AXIS MY INDIA),NA,NA,NA,82.121,49.314,73.3,NA,66.666,NA,NA,67.85,4
LAGADAPATI SURVEY,NA,46.321,NA,66.06,40.889,NA,NA,NA,NA,NA,51.09,3
NEWSX,NA,NA,66.408,83.636,NA,48.915,NA,NA,NA,NA,66.318,3
CPS,NA,81.65,NA,NA,40.79,NA,NA,NA,NA,NA,61.22,2
RAAJNEETI,NA,NA,NA,NA,NA,NA,66.338,NA,NA,NA,66.338,1
CGS,NA,NA,NA,NA,NA,NA,73.288,NA,NA,NA,73.288,1
P-MARQ,NA,NA,NA,NA,NA,NA,75.751,NA,NA,NA,75.751,1
MY AXIS,NA,NA,NA,NA,NA,NA,72.16,NA,NA,78.934,75.541,2
C VOTER (R),70.549,NA,68.499,57.142,NA,NA,NA,73.45,NA,NA,67.41,4
DAINIK BHASKAR,NA,NA,NA,NA,NA,NA,NA,NA,48.281,NA,48.281,1
NEWS NATION,61.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.769,1
ABP NEWS-neilson,73.681,NA,NA,83.636,NA,NA,NA,NA,NA,NA,78.658,2
AAJTAK,68.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.868,1
TIMES NEWS,61.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.769,1
NDTV,NA,NA,69.3,NA,NA,NA,NA,NA,NA,NA,69.3,1
VDPA,NA,NA,NA,NA,55.724,NA,NA,NA,NA,NA,55.724,1
CFPS,NA,NA,NA,NA,49.75,NA,NA,NA,NA,NA,49.75,1
MC,NA,NA,NA,NA,39.45,NA,NA,NA,NA,NA,39.45,1
KK SURVEY,NA,NA,NA,NA,56.127,NA,NA,NA,NA,NA,56.127,1
R.,NA,53.918,NA,NA,NA,NA,NA,NA,NA,NA,53.918,1
